;Abs Path;Rel Path;Item Class
0;C:\Users\kiril\Desktop\3labAP\dataset_3\9349.jpg;dataset_3\9349.jpg;tiger
1;C:\Users\kiril\Desktop\3labAP\dataset_3\3059.jpg;dataset_3\3059.jpg;tiger
2;C:\Users\kiril\Desktop\3labAP\dataset_3\4055.jpg;dataset_3\4055.jpg;tiger
3;C:\Users\kiril\Desktop\3labAP\dataset_3\2499.jpg;dataset_3\2499.jpg;tiger
4;C:\Users\kiril\Desktop\3labAP\dataset_3\6833.jpg;dataset_3\6833.jpg;tiger
5;C:\Users\kiril\Desktop\3labAP\dataset_3\8754.jpg;dataset_3\8754.jpg;tiger
6;C:\Users\kiril\Desktop\3labAP\dataset_3\915.jpg;dataset_3\915.jpg;tiger
7;C:\Users\kiril\Desktop\3labAP\dataset_3\1124.jpg;dataset_3\1124.jpg;tiger
8;C:\Users\kiril\Desktop\3labAP\dataset_3\2185.jpg;dataset_3\2185.jpg;tiger
9;C:\Users\kiril\Desktop\3labAP\dataset_3\6815.jpg;dataset_3\6815.jpg;tiger
10;C:\Users\kiril\Desktop\3labAP\dataset_3\1430.jpg;dataset_3\1430.jpg;tiger
11;C:\Users\kiril\Desktop\3labAP\dataset_3\2438.jpg;dataset_3\2438.jpg;tiger
12;C:\Users\kiril\Desktop\3labAP\dataset_3\8902.jpg;dataset_3\8902.jpg;tiger
13;C:\Users\kiril\Desktop\3labAP\dataset_3\5835.jpg;dataset_3\5835.jpg;tiger
14;C:\Users\kiril\Desktop\3labAP\dataset_3\4049.jpg;dataset_3\4049.jpg;tiger
15;C:\Users\kiril\Desktop\3labAP\dataset_3\715.jpg;dataset_3\715.jpg;tiger
16;C:\Users\kiril\Desktop\3labAP\dataset_3\318.jpg;dataset_3\318.jpg;tiger
17;C:\Users\kiril\Desktop\3labAP\dataset_3\6029.jpg;dataset_3\6029.jpg;tiger
18;C:\Users\kiril\Desktop\3labAP\dataset_3\6643.jpg;dataset_3\6643.jpg;tiger
19;C:\Users\kiril\Desktop\3labAP\dataset_3\4798.jpg;dataset_3\4798.jpg;tiger
20;C:\Users\kiril\Desktop\3labAP\dataset_3\479.jpg;dataset_3\479.jpg;tiger
21;C:\Users\kiril\Desktop\3labAP\dataset_3\35.jpg;dataset_3\35.jpg;tiger
22;C:\Users\kiril\Desktop\3labAP\dataset_3\1685.jpg;dataset_3\1685.jpg;tiger
23;C:\Users\kiril\Desktop\3labAP\dataset_3\6699.jpg;dataset_3\6699.jpg;tiger
24;C:\Users\kiril\Desktop\3labAP\dataset_3\6675.jpg;dataset_3\6675.jpg;tiger
25;C:\Users\kiril\Desktop\3labAP\dataset_3\5868.jpg;dataset_3\5868.jpg;tiger
26;C:\Users\kiril\Desktop\3labAP\dataset_3\3157.jpg;dataset_3\3157.jpg;tiger
27;C:\Users\kiril\Desktop\3labAP\dataset_3\8992.jpg;dataset_3\8992.jpg;tiger
28;C:\Users\kiril\Desktop\3labAP\dataset_3\9082.jpg;dataset_3\9082.jpg;tiger
29;C:\Users\kiril\Desktop\3labAP\dataset_3\2363.jpg;dataset_3\2363.jpg;tiger
30;C:\Users\kiril\Desktop\3labAP\dataset_3\7477.jpg;dataset_3\7477.jpg;tiger
